numnodes,occur
1,360
2,395
3,956
4,31190
5,579
6,10704
7,1232
8,8048
9,12480
10,33618
11,2858
12,3897
13,22782
14,68865
15,766
16,440
17,1400
18,1260
19,767
20,1126
21,875
22,648
23,749
24,2290
25,66
26,31
27,372
28,1128
29,1092
30,32
31,37
32,68
33,355
34,286
35,53
36,25
37,60
38,253
39,71
40,15
41,959
42,12
43,87
44,13
45,90
46,30
47,23
48,18
49,8
50,10
51,24
52,44
53,26
54,41
55,11
56,10
57,3
58,12
59,6
60,24
61,19
62,2
63,2
64,12
65,5
66,13
67,36
68,15
69,7
70,6
71,5
72,4
73,3
74,25
75,2
76,6
77,14
78,2
79,2
80,3
81,47
82,2
83,1
84,20
85,6
86,1
87,3
88,18
89,1
90,5
91,7
92,2
93,1
94,3
95,25
96,2
97,4
99,2
100,1
101,5
102,20
103,3
104,1
106,15
107,28
108,2
109,6
110,4
112,5
113,1
114,4
115,1
116,4
118,5
120,5
121,1
123,3
124,1
125,2
126,1
128,3
134,1
137,4
138,4
140,1
143,2
146,1
147,3
148,3
149,38
150,1
151,1
152,5
154,17
156,1
158,4
159,1
163,1
168,5
169,1
172,1
175,2
187,1
190,3
197,1
198,10
201,78
203,49
204,6
211,1
215,1
231,15
248,1
249,3
251,2
252,1
259,1
261,90
262,3
266,6
267,1
282,14
283,4
286,1
306,1
317,9
319,1
320,18
322,18
329,1
332,2
334,1
339,1
341,1
344,1
350,2
369,1
406,16
411,1
435,1
446,2
459,1
487,1
544,1
547,1
560,2
578,2
631,15
676,1
679,1
726,1
837,1
856,1
859,1
880,1
884,1
922,2
937,1
989,1
992,1
1184,1
1192,3
1195,1
1222,1
1447,3
1514,1
1579,8
1733,3
1865,1
1940,1
2008,3
2145,2
2148,1
2264,1
2294,5
2437,2
2475,1
2478,1
2481,1
2486,1
2580,8
2656,2
2832,1
2835,1
2838,1
3140,1
3219,2
3222,1
3581,2
3624,2
3630,2
4010,2
4047,2
4050,1
4053,1
4307,1
7706,2
7882,1
8025,1
10231,1
13745,1
19465,3
28630,3
57298,3
114638,3
229322,3
458694,4
917442,4
